-DOCSTART- -X- O
wild -X- I-O O
and -X- I-O O
there -X- I-O O
are -X- I-O O
some -X- I-O O
open -X- I-O O
source -X- I-O O
projects. -X- I-O O
(Citation: -X- I-O O
Volatility -X- I-O B-ORG
Phalanx2) -X- I-O B-EXPLOITS
(Citation: -X- I-O O
CrowdStrike -X- I-O B-ORG
Linux -X- I-O B-EXPLOITS
Rootkit) -X- I-O I-EXPLOITS
(Citation: -X- I-O O
GitHub -X- I-O O
Reptile) -X- I-O B-EXPLOITS
(Citation: -X- I-O O
GitHub -X- I-O O
Diamorphine)(Citation: -X- I-O B-EXPLOITS
RSAC -X- I-O O
2015 -X- I-O O
San -X- I-O B-LOC
Francisco -X- I-O I-LOC
Patrick -X- I-O O
Wardle) -X- I-O O
(Citation: -X- I-O O
Synack -X- I-O B-ORG
Secure -X- I-O B-EXPLOITS
Kernel -X- I-O I-EXPLOITS
Extension -X- I-O I-EXPLOITS
Broken)(Citation: -X- I-O I-EXPLOITS
Securelist -X- I-O O
Ventir) -X- I-O O
(Citation: -X- I-O O
Trend -X- I-O B-ORG
Micro -X- I-O I-ORG
Skidmap) -X- I-O B-EXPLOITS

Adversaries -X- I-O B-PER
may -X- I-O O
achieve -X- I-O O
persistence -X- I-O O
by -X- I-O O
adding -X- I-O O
a -X- I-O O
Registry -X- I-O O
key -X- I-O O
to -X- I-O O
the -X- I-O O
Active -X- I-O O
Setup -X- I-O O
of -X- I-O O
the -X- I-O O
local -X- I-O O
machine. -X- I-O O
Active -X- I-O O
Setup -X- I-O O
is -X- I-O O
a -X- I-O O
Windows -X- I-O O
mechanism -X- I-O O
that -X- I-O O
is -X- I-O O
used -X- I-O O
to -X- I-O O
execute -X- I-O O
programs -X- I-O O
when -X- I-O O
a -X- I-O O
user -X- I-O O
logs -X- I-O O
in. -X- I-O O
The -X- I-O O
value -X- I-O O
stored -X- I-O O
in -X- I-O O
the -X- I-O O
Registry -X- I-O O
key -X- I-O O
will -X- I-O O
be -X- I-O O
executed -X- I-O O
after -X- I-O O
a -X- I-O O
user -X- I-O O
logs -X- I-O O
into -X- I-O O
the -X- I-O O
computer.(Citation: -X- I-O O
Klein -X- I-O O
Active -X- I-O O
Setup -X- I-O O
2010) -X- I-O O
These -X- I-O O
programs -X- I-O O
will -X- I-O O
be -X- I-O O
executed -X- I-O O
under -X- I-O O
the -X- I-O O
context -X- I-O O
of -X- I-O O
the -X- I-O O
user -X- I-O O
and -X- I-O O
will -X- I-O O
have -X- I-O O
the -X- I-O O
account's -X- I-O O
associated -X- I-O O
permissions -X- I-O O
level. -X- I-O O
Adversaries -X- I-O B-PER
may -X- I-O O
abuse -X- I-O O
Active -X- I-O O
Setup -X- I-O O
by -X- I-O O
creating -X- I-O O
a -X- I-O O
key -X- I-O O
under -X- I-O O
` -X- I-O O
HKLM\SOFTWARE\Microsoft\Active -X- I-O B-PATH
Setup\Installed -X- I-O I-PATH
Components\` -X- I-O I-PATH
and -X- I-O O
setting -X- I-O O
a -X- I-O O
malicious -X- I-O O
value -X- I-O O
for -X- I-O O
`StubPath`. -X- I-O O
This -X- I-O O
value -X- I-O O
will -X- I-O O
serve -X- I-O O
as -X- I-O O
the -X- I-O O
program -X- I-O O
that -X- I-O O
will -X- I-O O
be -X- I-O O
executed -X- I-O O
when -X- I-O O
a -X- I-O O
user -X- I-O O
logs -X- I-O O
into -X- I-O O
the -X- I-O O
computer.(Citation: -X- I-O O
Mandiant -X- I-O O
Glyer -X- I-O O
APT -X- I-O O
2010)(Citation: -X- I-O O
Citizenlab -X- I-O O
Packrat -X- I-O O
2015)(Citation: -X- I-O O
FireEye -X- I-O O
CFR -X- I-O O
Watering -X- I-O O
Hole -X- I-O O
2012)(Citation: -X- I-O O
SECURELIST -X- I-O O
Bright -X- I-O O
Star -X- I-O O
2015)(Citation: -X- I-O O
paloalto -X- I-O O
Tropic -X- I-O O
Trooper -X- I-O O
2016) -X- I-O O
Adversaries -X- I-O B-PER
can -X- I-O O
abuse -X- I-O O
these -X- I-O O
components -X- I-O O
to -X- I-O O
execute -X- I-O O
malware, -X- I-O O
such -X- I-O O
as -X- I-O O
remote -X- I-O O
access -X- I-O O
tools, -X- I-O O
to -X- I-O O
maintain -X- I-O O
persistence -X- I-O O
through -X- I-O O
system -X- I-O O
reboots. -X- I-O O
Adversaries -X- I-O B-PER
may -X- I-O O
also -X- I-O O
use -X- I-O O
[Masquerading](T1036) -X- I-O B-EXPLOITS
to -X- I-O O
make -X- I-O O
the -X- I-O O
Registry -X- I-O O
entries -X- I-O O
look -X- I-O O
as -X- I-O O
if -X- I-O O
they -X- I-O O
are -X- I-O O
associated -X- I-O O
with -X- I-O O
legitimate -X- I-O O
programs. -X- I-O O

Adversaries -X- I-O B-PER
may -X- I-O O
abuse -X- I-O O
security -X- I-O O
support -X- I-O O
providers -X- I-O O
(SSPs) -X- I-O O
to -X- I-O O
execute -X- I-O O
DLLs -X- I-O O
when -X- I-O O
the -X- I-O O
system -X- I-O O
boots. -X- I-O O
Windows -X- I-O B-DEVICES
SSP -X- I-O O
DLLs -X- I-O O
are -X- I-O O
loaded -X- I-O O
into -X- I-O O
the -X- I-O O
Local -X- I-O B-CYBERSEC
Security -X- I-O I-CYBERSEC
Authority -X- I-O I-CYBERSEC
(LSA) -X- I-O B-CYBERSEC
process -X- I-O O
at -X- I-O O
system -X- I-O O
start. -X- I-O O
Once -X- I-O O
loaded -X- I-O O
into -X- I-O O
the -X- I-O O
LSA, -X- I-O B-CYBERSEC
SSP -X- I-O O
DLLs -X- I-O O
have -X- I-O O
access -X- I-O O
to -X- I-O O
encrypted -X- I-O O
and -X- I-O O
plaintext -X- I-O O
passwords -X- I-O O
that -X- I-O O
are -X- I-O O
stored -X- I-O O
in -X- I-O O
Windows, -X- I-O B-DEVICES
such -X- I-O O
as -X- I-O O
any -X- I-O O
logged-on -X- I-O O
user's -X- I-O B-PER
Domain -X- I-O O
password -X- I-O O
or -X- I-O O
smart -X- I-O O
card -X- I-O O
PINs. -X- I-O O
The -X- I-O O
SSP -X- I-O O
configuration -X- I-O O
is -X- I-O O
stored -X- I-O O
in -X- I-O O
two -X- I-O O
Registry -X- I-O O
keys: -X- I-O O
`HKLM\SYSTEM\CurrentControlSet\Control\Lsa\Security -X- I-O B-PATH
Packages` -X- I-O I-PATH
and -X- I-O O
`HKLM\SYSTEM\CurrentControlSet\Control\Lsa\OSConfig\Security -X- I-O B-PATH
Packages`. -X- I-O I-PATH
An -X- I-O O
adversary -X- I-O B-PER
may -X- I-O O
modify -X- I-O O
these -X- I-O O
Registry -X- I-O O
keys -X- I-O O
to -X- I-O O
add -X- I-O O
new -X- I-O O
SSPs, -X- I-O O
which -X- I-O O
will -X- I-O O
be -X- I-O O
loaded -X- I-O O
the -X- I-O O
next -X- I-O O
time -X- I-O O
the -X- I-O O
system -X- I-O O
boots, -X- I-O O
or -X- I-O O
when -X- I-O O
the -X- I-O O
AddSecurityPackage -X- I-O O
Windows -X- I-O B-DEVICES
API -X- I-O O
function -X- I-O O
is -X- I-O O
called.(Citation: -X- I-O O
Graeber -X- I-O B-ORG
2014) -X- I-O O

Adversaries -X- I-O B-PER
may -X- I-O O
abuse -X- I-O O
features -X- I-O O
of -X- I-O O
Winlogon -X- I-O O
to -X- I-O O
execute -X- I-O O
DLLs -X- I-O O
and/or -X- I-O O
executables -X- I-O O
when -X- I-O O
a -X- I-O O
user -X- I-O O
logs -X- I-O O
in. -X- I-O O
Winlogon.exe -X- I-O O
is -X- I-O O
a -X- I-O O
Windows -X- I-O O
component -X- I-O O
responsible -X- I-O O
for -X- I-O O
actions -X- I-O O
at -X- I-O O
logon/logoff -X- I-O O
as -X- I-O O
well -X- I-O O
as -X- I-O O
the -X- I-O O
secure -X- I-O O
attention -X- I-O O
sequence -X- I-O O
(SAS) -X- I-O O
triggered -X- I-O O
by -X- I-O O
Ctrl-Alt-Delete. -X- I-O B-COMMANDS
Registry -X- I-O O
entries -X- I-O O
in -X- I-O O
`HKLM\Software[\\Wow6432Node\\]\Microsoft\Windows -X- I-O B-PATH
NT\CurrentVersion\Winlogon\` -X- I-O I-PATH
and -X- I-O O
`HKCU\Software\Microsoft\Windows -X- I-O B-PATH
NT\CurrentVersion\Winlogon\` -X- I-O I-PATH
are -X- I-O O
used -X- I-O O
to -X- I-O O
manage -X- I-O O
additional -X- I-O O
helper -X- I-O O
programs -X- I-O O
and -X- I-O O
functionalities -X- I-O O
that -X- I-O O
support -X- I-O O
Winlogon. -X- I-O O
(Citation: -X- I-O O
Cylance -X- I-O B-ORG
Reg -X- I-O O
Persistence -X- I-O O
Sept -X- I-O O
2013) -X- I-O O
Malicious -X- I-O O
modifications -X- I-O O
to -X- I-O O
these -X- I-O O
Registry -X- I-O O
keys -X- I-O O
may -X- I-O O
cause -X- I-O O
Winlogon -X- I-O O
to -X- I-O O
load -X- I-O O
and -X- I-O O
execute -X- I-O O
malicious -X- I-O O
DLLs -X- I-O O
and/or -X- I-O O
executables. -X- I-O O
Specifically, -X- I-O O
the -X- I-O O
following -X- I-O O
subkeys -X- I-O O
have -X- I-O O
been -X- I-O O
known -X- I-O O
to -X- I-O O
be -X- I-O O
possibly -X- I-O O
vulnerable -X- I-O O
to -X- I-O O
abuse: -X- I-O O
(Citation: -X- I-O O
Cylance -X- I-O B-ORG
Reg -X- I-O O
Persistence -X- I-O O
Sept -X- I-O O
2013) -X- I-O O
* -X- I-O O
Winlogon\Notify -X- I-O B-PATH
- -X- I-O O
points -X- I-O O
to -X- I-O O
notification -X- I-O O
package -X- I-O O
DLLs -X- I-O O
that -X- I-O O
handle -X- I-O O
Winlogon -X- I-O O
events -X- I-O O
* -X- I-O O
Winlogon\Userinit -X- I-O B-PATH
- -X- I-O O
points -X- I-O O
to -X- I-O O
userinit.exe, -X- I-O O
the -X- I-O O
user -X- I-O O
initialization -X- I-O O
program -X- I-O O
executed -X- I-O O
when -X- I-O O
a -X- I-O O
user -X- I-O O
logs -X- I-O O
on -X- I-O O
* -X- I-O O
Winlogon\Shell -X- I-O B-PATH
- -X- I-O O
points -X- I-O O
to -X- I-O O
explorer.exe, -X- I-O O
the -X- I-O O
system -X- I-O O
shell -X- I-O O
executed -X- I-O O
when -X- I-O O
a -X- I-O O
user -X- I-O O
logs -X- I-O O
on -X- I-O O
Adversaries -X- I-O B-PER
may -X- I-O O
take -X- I-O O
advantage -X- I-O O
of -X- I-O O
these -X- I-O O
features -X- I-O O
to -X- I-O O
repeatedly -X- I-O O
execute -X- I-O O
malicious -X- I-O O
code -X- I-O O
and -X- I-O O
establish -X- I-O O
persistence. -X- I-O O

Adversaries -X- I-O B-PER
may -X- I-O O
abuse -X- I-O O
time -X- I-O O
providers -X- I-O O
to -X- I-O O
execute -X- I-O O
DLLs -X- I-O O
when -X- I-O O
the -X- I-O O
system -X- I-O O
boots. -X- I-O O
The -X- I-O O
Windows -X- I-O B-DEVICES
Time -X- I-O O
service -X- I-O O
(W32Time) -X- I-O O
enables -X- I-O O
time -X- I-O O
synchronization -X- I-O O
across -X- I-O O
and -X- I-O O
within -X- I-O O
domains. -X- I-O O
(Citation: -X- I-O O
Microsoft -X- I-O B-VENDOR
W32Time -X- I-O O
Feb -X- I-O O
2018) -X- I-O O
W32Time -X- I-O O
time -X- I-O O
providers -X- I-O O
are -X- I-O O
responsible -X- I-O O
for -X- I-O O
retrieving -X- I-O O
time -X- I-O O
stamps -X- I-O O
from -X- I-O O
hardware/network -X- I-O O
resources -X- I-O O
and -X- I-O O
outputting -X- I-O O
these -X- I-O O
values -X- I-O O
to -X- I-O O
other -X- I-O O
network -X- I-O O
clients. -X- I-O O
(Citation: -X- I-O O
Microsoft -X- I-O B-VENDOR
TimeProvider) -X- I-O O
Time -X- I-O O
providers -X- I-O O
are -X- I-O O
implemented -X- I-O O
as -X- I-O O
dynamic-link -X- I-O O
libraries -X- I-O O
(DLLs) -X- I-O O
that -X- I-O O
are -X- I-O O
registered -X- I-O O
in -X- I-O O
the -X- I-O O
subkeys -X- I-O O
of -X- I-O O
`HKEYI-OLOCALI-OMACHINE\System\CurrentControlSet\Services\W32Time\TimeProviders\`. -X- I-O B-PATH
(Citation: -X- I-O O
Microsoft -X- I-O B-VENDOR
TimeProvider) -X- I-O O
The -X- I-O O
time -X- I-O O
provider -X- I-O O
manager, -X- I-O O
directed -X- I-O O
by -X- I-O O
the -X- I-O O
service -X- I-O O
control -X- I-O O
manager, -X- I-O O
loads -X- I-O O
and -X- I-O O
starts -X- I-O O
time -X- I-O O
providers -X- I-O O
listed -X- I-O O
and -X- I-O O
enabled -X- I-O O
under -X- I-O O
this -X- I-O O
key -X- I-O O
at -X- I-O O
system -X- I-O O
startup -X- I-O O
and/or -X- I-O O
whenever -X- I-O O
parameters -X- I-O O
are -X- I-O O
changed. -X- I-O O
(Citation: -X- I-O O
Microsoft -X- I-O B-VENDOR
TimeProvider) -X- I-O O
Adversaries -X- I-O B-PER
may -X- I-O O
abuse -X- I-O O
this -X- I-O O
architecture -X- I-O O
to -X- I-O O
establish -X- I-O O
persistence, -X- I-O O
specifically -X- I-O O
by -X- I-O O
registering -X- I-O O
and -X- I-O O
enabling -X- I-O O
a -X- I-O O
malicious -X- I-O O
DLL -X- I-O O
as -X- I-O O
a -X- I-O O
time -X- I-O O
provider. -X- I-O O
Administrator -X- I-O B-PER
privileges -X- I-O O
are -X- I-O O
required -X- I-O O
for -X- I-O O
time -X- I-O O
provider -X- I-O O
registration, -X- I-O O
though -X- I-O O
execution -X- I-O O
will -X- I-O O
run -X- I-O O
in -X- I-O O
context -X- I-O O
of -X- I-O O
the -X- I-O O
Local -X- I-O O
Service -X- I-O O
account. -X- I-O O
(Citation: -X- I-O O
Github -X- I-O B-ORG
W32Time -X- I-O O
Oct -X- I-O O
2017) -X- I-O O

Adversaries -X- I-O B-PER
may -X- I-O O
abuse -X- I-O O
authentication -X- I-O O
packages -X- I-O O
to -X- I-O O
execute -X- I-O O
DLLs -X- I-O O
when -X- I-O O
the -X- I-O O
system -X- I-O O
boots. -X- I-O O
Windows -X- I-O O
authentication -X- I-O O
package -X- I-O O
DLLs -X- I-O O
are -X- I-O O
loaded -X- I-O O
by -X- I-O O
the -X- I-O O
Local -X- I-O O
Security -X- I-O O
Authority -X- I-O O
(LSA) -X- I-O O
process -X- I-O O
at -X- I-O O
system -X- I-O O
start. -X- I-O O
They -X- I-O O
provide -X- I-O O
support -X- I-O O
for -X- I-O O
multiple -X- I-O O
logon -X- I-O O
processes -X- I-O O
and -X- I-O O
multiple -X- I-O O
security -X- I-O O
protocols -X- I-O O
to -X- I-O O
the -X- I-O O
operating -X- I-O O
system. -X- I-O O
(Citation: -X- I-O O
MSDN -X- I-O O
Authentication -X- I-O O
Packages) -X- I-O O
Adversaries -X- I-O B-PER
can -X- I-O O
use -X- I-O O
the -X- I-O O
autostart -X- I-O O
mechanism -X- I-O O
provided -X- I-O O
by -X- I-O O
LSA -X- I-O O
authentication -X- I-O O
packages -X- I-O O
for -X- I-O O
persistence -X- I-O O
by -X- I-O O
placing -X- I-O O
a -X- I-O O
reference -X- I-O O
to -X- I-O O
a -X- I-O O
binary -X- I-O O
in -X- I-O O
the -X- I-O O
Windows -X- I-O O
Registry -X- I-O O
location -X- I-O O
`HKLM\SYSTEM\CurrentControlSet\Control\Lsa\` -X- I-O B-PATH
with -X- I-O O
the -X- I-O O
key -X- I-O O
value -X- I-O O
of -X- I-O O
`"Authentication -X- I-O B-COMMANDS
Packages"=&lt;target -X- I-O I-COMMANDS
binary&gt;`. -X- I-O I-COMMANDS
The -X- I-O O
binary -X- I-O O
will -X- I-O O
then -X- I-O O
be -X- I-O O
executed -X- I-O O
by -X- I-O O
the -X- I-O O
system -X- I-O O
when -X- I-O O
the -X- I-O O
authentication -X- I-O O
packages -X- I-O O
are -X- I-O O
loaded. -X- I-O O

Adversaries -X- I-O B-PER
may -X- I-O O
achieve -X- I-O O
persistence -X- I-O O
by -X- I-O O
adding -X- I-O O
a -X- I-O O
program -X- I-O O
to -X- I-O O
a -X- I-O O
startup -X- I-O O
folder -X- I-O O
or -X- I-O O
referencing -X- I-O O
it -X- I-O O
with -X- I-O O
a -X- I-O O
Registry -X- I-O O
run -X- I-O O
key. -X- I-O O
Adding -X- I-O O
an -X- I-O O
entry -X- I-O O
to -X- I-O O
the -X- I-O O
"run -X- I-O O
keys" -X- I-O O
in -X- I-O O
the -X- I-O O
Registry -X- I-O O
or -X- I-O O
startup -X- I-O O
folder -X- I-O O
will -X- I-O O
cause -X- I-O O
the -X- I-O O
program -X- I-O O
referenced -X- I-O O
to -X- I-O O
be -X- I-O O
executed -X- I-O O
when -X- I-O O
a -X- I-O O
user -X- I-O O
logs -X- I-O O
in. -X- I-O O
(Citation: -X- I-O O
Microsoft -X- I-O O
Run -X- I-O O
Key) -X- I-O O
These -X- I-O O
programs -X- I-O O
will -X- I-O O
be -X- I-O O
executed -X- I-O O
under -X- I-O O
the -X- I-O O
context -X- I-O O
of -X- I-O O
the -X- I-O O
user -X- I-O O
and -X- I-O O
will -X- I-O O
have -X- I-O O
the -X- I-O O
account's -X- I-O O
associated -X- I-O O
permissions -X- I-O O
level. -X- I-O O
Placing -X- I-O O
a -X- I-O O
program -X- I-O O
within -X- I-O O
a -X- I-O O
startup -X- I-O O
folder -X- I-O O
will -X- I-O O
also -X- I-O O
cause -X- I-O O
that -X- I-O O
program -X- I-O O
to -X- I-O O
execute -X- I-O O
when -X- I-O O
a -X- I-O O
user -X- I-O O
logs -X- I-O O
in. -X- I-O O
There -X- I-O O
is -X- I-O O
a -X- I-O O
startup -X- I-O O
folder -X- I-O O
location -X- I-O O
for -X- I-O O
individual -X- I-O O
user -X- I-O O
accounts -X- I-O O
as -X- I-O O
well -X- I-O O
as -X- I-O O
a -X- I-O O
system-wide -X- I-O O
startup -X- I-O O
folder -X- I-O O
that -X- I-O O
will -X- I-O O
be -X- I-O O
checked -X- I-O O
regardless -X- I-O O
of -X- I-O O
which -X- I-O O
user -X- I-O O
account -X- I-O O
logs -X- I-O O
in. -X- I-O O
The -X- I-O O
startup -X- I-O O
folder -X- I-O O
path -X- I-O O
for -X- I-O O
the -X- I-O O
current -X- I-O O
user -X- I-O O
is -X- I-O O
`C:\Users\\[Username]\AppData\Roaming\Microsoft\Windows\Start -X- I-O B-PATH
Menu\Programs\Startup`. -X- I-O I-PATH
The -X- I-O O
startup -X- I-O O
folder -X- I-O O
path -X- I-O O
for -X- I-O O
all -X- I-O O
users -X- I-O O
is -X- I-O O
`C:\ProgramData\Microsoft\Windows\Start -X- I-O B-PATH
Menu\Programs\StartUp`. -X- I-O I-PATH
The -X- I-O O
following -X- I-O O
run -X- I-O O
keys -X- I-O O
are -X- I-O O
created -X- I-O O
by -X- I-O O
default -X- I-O O
on -X- I-O O
Windows -X- I-O O
systems: -X- I-O O
* -X- I-O O
`HKEYI-OCURRENTI-OUSER\Software\Microsoft\Windows\CurrentVersion\Run` -X- I-O B-PATH
* -X- I-O O
`HKEYI-OCURRENTI-OUSER\Software\Microsoft\Windows\CurrentVersion\RunOnce` -X- I-O B-PATH
* -X- I-O O
`HKEYI-OLOCALI-OMACHINE\Software\Microsoft\Windows\CurrentVersion\Run` -X- I-O B-PATH
* -X- I-O O
`HKEYI-OLOCALI-OMACHINE\Software\Microsoft\Windows\CurrentVersion\RunOnce` -X- I-O B-PATH
Run -X- I-O O
keys -X- I-O O
may -X- I-O O
exist -X- I-O O
under -X- I-O O
multiple -X- I-O O
hives.(Citation: -X- I-O O
Microsoft -X- I-O B-VENDOR
Wow6432Node -X- I-O O
2018)(Citation: -X- I-O O
Malwarebytes -X- I-O B-ORG
Wow6432Node -X- I-O O
2016) -X- I-O O
The -X- I-O O
`HKEYI-OLOCALI-OMACHINE\Software\Microsoft\Windows\CurrentVersion\RunOnceEx` -X- I-O B-PATH
is -X- I-O O
also -X- I-O O
available -X- I-O O
but -X- I-O O
is -X- I-O O
not -X- I-O O
created -X- I-O O
by -X- I-O O
default -X- I-O O
on -X- I-O O
Windows -X- I-O O
Vista -X- I-O O
and -X- I-O O
newer. -X- I-O O
Registry -X- I-O O
run -X- I-O O
key -X- I-O O
entries -X- I-O O
can -X- I-O O
reference -X- I-O O
programs -X- I-O O
directly -X- I-O O
or -X- I-O O
list -X- I-O O
them -X- I-O O
as -X- I-O O
a -X- I-O O
dependency. -X- I-O O
(Citation: -X- I-O O
Microsoft -X- I-O O
RunOnceEx -X- I-O O
APR -X- I-O O
2018) -X- I-O O
For -X- I-O O
example, -X- I-O O
it -X- I-O O
is -X- I-O O
possible -X- I-O O
to -X- I-O O
load -X- I-O O
a -X- I-O O
DLL -X- I-O O
at -X- I-O O
logon -X- I-O O
using -X- I-O O
a -X- I-O O
"Depend" -X- I-O O
key -X- I-O O
with -X- I-O O
RunOnceEx: -X- I-O O
`reg -X- I-O B-COMMANDS
add -X- I-O I-COMMANDS
HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\RunOnceEx\0001\Depend -X- I-O I-COMMANDS
/v -X- I-O I-COMMANDS
1 -X- I-O I-COMMANDS
/d -X- I-O I-COMMANDS
"C:\temp\evil[.]dll"` -X- I-O I-COMMANDS
(Citation: -X- I-O O
Oddvar -X- I-O O
Moe -X- I-O O
RunOnceEx -X- I-O O
Mar -X- I-O O
2018) -X- I-O O
The -X- I-O O
following -X- I-O O
Registry -X- I-O O
keys -X- I-O O
can -X- I-O O
be -X- I-O O
used -X- I-O O
to -X- I-O O
set -X- I-O O
startup -X- I-O O
folder -X- I-O O
items -X- I-O O
for -X- I-O O
persistence: -X- I-O O
* -X- I-O O
`HKEYI-OCURRENTI-OUSER\Software\Microsoft\Windows\CurrentVersion\Explorer\User -X- I-O B-PATH
Shell -X- I-O I-PATH
Folders` -X- I-O I-PATH
* -X- I-O O
`HKEYI-OCURRENTI-OUSER\Software\Microsoft\Windows\CurrentVersion\Explorer\Shell -X- I-O B-PATH
Folders` -X- I-O I-PATH
* -X- I-O O
`HKEYI-OLOCALI-OMACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\Shell -X- I-O B-PATH
Folders` -X- I-O I-PATH
* -X- I-O O
`HKEYI-OLOCALI-OMACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\User -X- I-O B-PATH
Shell -X- I-O I-PATH
Folders` -X- I-O I-PATH
The -X- I-O O
following -X- I-O O
Registry -X- I-O O
keys -X- I-O O
can -X- I-O O
control -X- I-O O
automatic -X- I-O O
startup -X- I-O O
of -X- I-O O
services -X- I-O O
during -X- I-O O
boot: -X- I-O O
* -X- I-O O
`HKEYI-OLOCALI-OMACHINE\Software\Microsoft\Windows\CurrentVersion\RunServicesOnce` -X- I-O B-PATH
* -X- I-O O
`HKEYI-OCURRENTI-OUSER\Software\Microsoft\Windows\CurrentVersion\RunServicesOnce` -X- I-O B-PATH
* -X- I-O O
`HKEYI-OLOCALI-OMACHINE\Software\Microsoft\Windows\CurrentVersion\RunServices` -X- I-O B-PATH
* -X- I-O O
`HKEYI-OCURRENTI-OUSER\Software\Microsoft\Windows\CurrentVersion\RunServices` -X- I-O B-PATH
Using -X- I-O O
policy -X- I-O O
settings -X- I-O O
to -X- I-O O
specify -X- I-O O
startup -X- I-O O
programs -X- I-O O
creates -X- I-O O
corresponding -X- I-O O
values -X- I-O O
in -X- I-O O
either -X- I-O O
of -X- I-O O
two -X- I-O O
Registry -X- I-O O
keys: -X- I-O O
* -X- I-O O
`HKEYI-OLOCALI-OMACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Run` -X- I-O B-PATH
* -X- I-O O
`HKEYI-OCURRENTI-OUSER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Run` -X- I-O B-PATH
The -X- I-O O
Winlogon -X- I-O O
key -X- I-O O
controls -X- I-O O
actions -X- I-O O
that -X- I-O O
occur -X- I-O O
when -X- I-O O
a -X- I-O O
user -X- I-O O
logs -X- I-O O
on -X- I-O O
to -X- I-O O
a -X- I-O O
computer -X- I-O O
running -X- I-O O
Windows -X- I-O O
7. -X- I-O O
Most -X- I-O O
of -X- I-O O
these -X- I-O O
actions -X- I-O O
are -X- I-O O
under -X- I-O O
the -X- I-O O
control -X- I-O O
of -X- I-O O
the -X- I-O O
operating -X- I-O O
system, -X- I-O O
but -X- I-O O
you -X- I-O O
can -X- I-O O
also -X- I-O O
add -X- I-O O
custom -X- I-O O
actions -X- I-O O
here. -X- I-O O
The -X- I-O O
`HKEYI-OLOCALI-OMACHINE\Software\Microsoft\Windows -X- I-O B-PATH
NT\CurrentVersion\Winlogon\Userinit` -X- I-O I-PATH
and -X- I-O O
`HKEYI-OLOCALI-OMACHINE\Software\Microsoft\Windows -X- I-O B-PATH
NT\CurrentVersion\Winlogon\Shell` -X- I-O I-PATH
subkeys -X- I-O O
can -X- I-O O
automatically -X- I-O O
launch -X- I-O O
programs. -X- I-O O
Programs -X- I-O O
listed -X- I-O O
in -X- I-O O
the -X- I-O O
load -X- I-O O
value -X- I-O O
of -X- I-O O
the -X- I-O O
registry -X- I-O O
key -X- I-O O
`HKEYI-OCURRENTI-OUSER\Software\Microsoft\Windows -X- I-O B-PATH
NT\CurrentVersion\Windows` -X- I-O I-PATH
run -X- I-O O
when -X- I-O O
any -X- I-O O
user -X- I-O O
logs -X- I-O O
on. -X- I-O O
By -X- I-O O
default, -X- I-O O
the -X- I-O O
multistring -X- I-O O
`BootExecute` -X- I-O O
value -X- I-O O
of -X- I-O O
the -X- I-O O
registry -X- I-O O
key -X- I-O O
`HKEYI-OLOCALI-OMACHINE\System\CurrentControlSet\Control\Session -X- I-O B-PATH
Manager` -X- I-O I-PATH
is -X- I-O O
set -X- I-O O
to -X- I-O O
`autocheck -X- I-O B-COMMANDS
autochk -X- I-O I-COMMANDS
*`. -X- I-O I-COMMANDS
This -X- I-O O
value -X- I-O O
causes -X- I-O O
Windows, -X- I-O B-DEVICES
at -X- I-O O
startup, -X- I-O O
to -X- I-O O
check -X- I-O O
the -X- I-O O
file-system -X- I-O O
integrity -X- I-O O
of -X- I-O O
the -X- I-O O
hard -X- I-O O
disks -X- I-O O
if -X- I-O O
the -X- I-O O
system -X- I-O O
has -X- I-O O
been -X- I-O O
shut -X- I-O O
down -X- I-O O
abnormally. -X- I-O O
Adversaries -X- I-O O
can -X- I-O O
add -X- I-O O
other -X- I-O O
programs -X- I-O O
or -X- I-O O
processes -X- I-O O
to -X- I-O O
this -X- I-O O
registry -X- I-O O
value -X- I-O O
which -X- I-O O
will -X- I-O O
automatically -X- I-O O
launch -X- I-O O
at -X- I-O O
boot. -X- I-O O
Adversaries -X- I-O B-PER
can -X- I-O O
use -X- I-O O
these -X- I-O O
configuration -X- I-O O
locations -X- I-O O
to -X- I-O O
execute -X- I-O O
malware, -X- I-O O
such -X- I-O O
as -X- I-O O
remote -X- I-O O
access -X- I-O O
tools, -X- I-O O
to -X- I-O O
maintain -X- I-O O
persistence -X- I-O O
through -X- I-O O
system -X- I-O O
reboots. -X- I-O O
Adversaries -X- I-O B-PER
may -X- I-O O
also -X- I-O O
use -X- I-O O
[Masquerading](T1036) -X- I-O B-EXPLOITS
to -X- I-O O
make -X- I-O O
the -X- I-O O
Registry -X- I-O O
entries -X- I-O O
look -X- I-O O
as -X- I-O O
if -X- I-O O
they -X- I-O O
are -X- I-O O
associated -X- I-O O
with -X- I-O O
legitimate -X- I-O O
programs. -X- I-O O

Adversaries -X- I-O B-PER
may -X- I-O O
configure -X- I-O O
system -X- I-O O
settings -X- I-O O
to -X- I-O O
automatically -X- I-O O
execute -X- I-O O
a -X- I-O O
program -X- I-O O
during -X- I-O O
system -X- I-O O
boot -X- I-O O
