-DOCSTART- -X- O
target -X- I-O O
host -X- I-O O
use -X- I-O O
procdump: -X- I-O O
* -X- I-O O
`procdump -X- I-O B-COMMANDS
-ma -X- I-O I-COMMANDS
lsass.exe -X- I-O I-COMMANDS
lsassI-Odump` -X- I-O I-COMMANDS
Locally, -X- I-O O
mimikatz -X- I-O B-EXPLOITS
can -X- I-O O
be -X- I-O O
run -X- I-O O
using: -X- I-O O
* -X- I-O O
`sekurlsa::Minidump -X- I-O B-COMMANDS
lsassdump.dmp` -X- I-O I-COMMANDS
* -X- I-O O
`sekurlsa::logonPasswords` -X- I-O B-COMMANDS
Built-in -X- I-O O
Windows -X- I-O B-DEVICES
tools -X- I-O O
such -X- I-O O
as -X- I-O O
comsvcs.dll -X- I-O O
can -X- I-O O
also -X- I-O O
be -X- I-O O
used: -X- I-O O
* -X- I-O O
`rundll32.exe -X- I-O B-COMMANDS
C:\Windows\System32\comsvcs.dll -X- I-O I-COMMANDS
MiniDump -X- I-O I-COMMANDS
PID -X- I-O I-COMMANDS
lsass.dmp -X- I-O I-COMMANDS
full`(Citation: -X- I-O I-COMMANDS
Volexity -X- I-O O
Exchange -X- I-O O
Marauder -X- I-O O
March -X- I-O O
2021)(Citation: -X- I-O O
Symantec -X- I-O B-VENDOR
Attacks -X- I-O O
Against -X- I-O O
Government -X- I-O O
Sector) -X- I-O O
Windows -X- I-O B-DEVICES
Security -X- I-O O
Support -X- I-O O
Provider -X- I-O O
(SSP) -X- I-O O
DLLs -X- I-O O
are -X- I-O O
loaded -X- I-O O
into -X- I-O O
LSSAS -X- I-O O
process -X- I-O O
at -X- I-O O
system -X- I-O O
start. -X- I-O O
Once -X- I-O O
loaded -X- I-O O
into -X- I-O O
the -X- I-O O
LSA, -X- I-O O
SSP -X- I-O O
DLLs -X- I-O O
have -X- I-O O
access -X- I-O O
to -X- I-O O
encrypted -X- I-O O
and -X- I-O O
plaintext -X- I-O O
passwords -X- I-O O
that -X- I-O O
are -X- I-O O
stored -X- I-O O
in -X- I-O O
Windows, -X- I-O O
such -X- I-O O
as -X- I-O O
any -X- I-O O
logged-on -X- I-O O
user's -X- I-O O
Domain -X- I-O O
password -X- I-O O
or -X- I-O O
smart -X- I-O O
card -X- I-O O
PINs. -X- I-O O
The -X- I-O O
SSP -X- I-O O
configuration -X- I-O O
is -X- I-O O
stored -X- I-O O
in -X- I-O O
two -X- I-O O
Registry -X- I-O O
keys: -X- I-O O
`HKLM\SYSTEM\CurrentControlSet\Control\Lsa\Security -X- I-O B-PATH
Packages` -X- I-O I-PATH
and -X- I-O O
`HKLM\SYSTEM\CurrentControlSet\Control\Lsa\OSConfig\Security -X- I-O B-PATH
Packages`. -X- I-O I-PATH
An -X- I-O O
adversary -X- I-O O
may -X- I-O O
modify -X- I-O O
these -X- I-O O
Registry -X- I-O O
keys -X- I-O O
to -X- I-O O
add -X- I-O O
new -X- I-O O
SSPs, -X- I-O O
which -X- I-O O
will -X- I-O O
be -X- I-O O
loaded -X- I-O O
the -X- I-O O
next -X- I-O O
time -X- I-O O
the -X- I-O O
system -X- I-O O
boots, -X- I-O O
or -X- I-O O
when -X- I-O O
the -X- I-O O
AddSecurityPackage -X- I-O O
Windows -X- I-O O
API -X- I-O O
function -X- I-O O
is -X- I-O O
called.(Citation: -X- I-O O
Graeber -X- I-O O
2014) -X- I-O O
The -X- I-O O
following -X- I-O O
SSPs -X- I-O O
can -X- I-O O
be -X- I-O O
used -X- I-O O
to -X- I-O O
access -X- I-O O
credentials: -X- I-O O
* -X- I-O O
Msv: -X- I-O O
Interactive -X- I-O O
logons, -X- I-O O
batch -X- I-O O
logons, -X- I-O O
and -X- I-O O
service -X- I-O O
logons -X- I-O O
are -X- I-O O
done -X- I-O O
through -X- I-O O
the -X- I-O O
MSV -X- I-O O
authentication -X- I-O O
package. -X- I-O O
* -X- I-O O
Wdigest: -X- I-O O
The -X- I-O O
Digest -X- I-O O
Authentication -X- I-O O
protocol -X- I-O O
is -X- I-O O
designed -X- I-O O
for -X- I-O O
use -X- I-O O
with -X- I-O O
Hypertext -X- I-O O
Transfer -X- I-O O
Protocol -X- I-O O
(HTTP) -X- I-O O
and -X- I-O O
Simple -X- I-O O
Authentication -X- I-O O
Security -X- I-O O
Layer -X- I-O O
(SASL) -X- I-O O
exchanges.(Citation: -X- I-O O
TechNet -X- I-O O
Blogs -X- I-O O
Credential -X- I-O O
Protection) -X- I-O O
* -X- I-O O
Kerberos: -X- I-O O
Preferred -X- I-O O
for -X- I-O O
mutual -X- I-O O
client-server -X- I-O O
domain -X- I-O O
authentication -X- I-O O
in -X- I-O O
Windows -X- I-O O
2000 -X- I-O O
and -X- I-O O
later. -X- I-O O
* -X- I-O O
CredSSP: -X- I-O O
Provides -X- I-O O
SSO -X- I-O O
and -X- I-O O
Network -X- I-O O
Level -X- I-O O
Authentication -X- I-O O
for -X- I-O O
Remote -X- I-O O
Desktop -X- I-O O
Services.(Citation: -X- I-O O
TechNet -X- I-O O
Blogs -X- I-O O
Credential -X- I-O O
Protection) -X- I-O O

Adversaries -X- I-O B-PER
may -X- I-O O
attempt -X- I-O O
to -X- I-O O
dump -X- I-O O
credentials -X- I-O O
to -X- I-O O
obtain -X- I-O O
account -X- I-O O
login -X- I-O O
and -X- I-O O
credential -X- I-O O
material, -X- I-O O
normally -X- I-O O
in -X- I-O O
the -X- I-O O
form -X- I-O O
of -X- I-O O
a -X- I-O O
hash -X- I-O O
or -X- I-O O
a -X- I-O O
clear -X- I-O O
text -X- I-O O
password, -X- I-O O
from -X- I-O O
the -X- I-O O
operating -X- I-O O
system -X- I-O O
and -X- I-O O
software. -X- I-O O
Credentials -X- I-O O
can -X- I-O O
then -X- I-O O
be -X- I-O O
used -X- I-O O
to -X- I-O O
perform -X- I-O O
[Lateral -X- I-O B-APT
Movement](TA0008) -X- I-O I-APT
and -X- I-O O
access -X- I-O O
restricted -X- I-O O
information. -X- I-O O
Several -X- I-O O
of -X- I-O O
the -X- I-O O
tools -X- I-O O
mentioned -X- I-O O
in -X- I-O O
associated -X- I-O O
sub-techniques -X- I-O O
may -X- I-O O
be -X- I-O O
used -X- I-O O
by -X- I-O O
both -X- I-O O
adversaries -X- I-O B-PER
and -X- I-O O
professional -X- I-O O
security -X- I-O B-PER
testers. -X- I-O I-PER
Additional -X- I-O O
custom -X- I-O O
tools -X- I-O O
likely -X- I-O O
exist -X- I-O O
as -X- I-O O
well. -X- I-O O

Adversaries -X- I-O B-PER
may -X- I-O O
impersonate -X- I-O O
legitimate -X- I-O O
protocols -X- I-O O
or -X- I-O O
web -X- I-O O
service -X- I-O O
traffic -X- I-O O
to -X- I-O O
disguise -X- I-O O
command -X- I-O B-EXPLOITS
and -X- I-O I-EXPLOITS
control -X- I-O I-EXPLOITS
activity -X- I-O O
and -X- I-O O
thwart -X- I-O O
analysis -X- I-O O
efforts. -X- I-O O
By -X- I-O O
impersonating -X- I-O O
legitimate -X- I-O O
protocols -X- I-O O
or -X- I-O O
web -X- I-O O
services, -X- I-O O
adversaries -X- I-O B-PER
can -X- I-O O
make -X- I-O O
their -X- I-O O
command -X- I-O O
and -X- I-O O
control -X- I-O O
traffic -X- I-O O
blend -X- I-O O
in -X- I-O O
with -X- I-O O
legitimate -X- I-O O
network -X- I-O O
traffic. -X- I-O O
Adversaries -X- I-O O
may -X- I-O O
impersonate -X- I-O O
a -X- I-O O
fake -X- I-O O
SSL/TLS -X- I-O B-NETWORK
handshake -X- I-O O
to -X- I-O O
make -X- I-O O
it -X- I-O O
look -X- I-O O
like -X- I-O O
subsequent -X- I-O O
traffic -X- I-O O
is -X- I-O O
SSL/TLS -X- I-O O
encrypted, -X- I-O O
potentially -X- I-O O
interfering -X- I-O O
with -X- I-O O
some -X- I-O O
security -X- I-O O
tooling, -X- I-O O
or -X- I-O O
to -X- I-O O
make -X- I-O O
the -X- I-O O
traffic -X- I-O O
look -X- I-O O
like -X- I-O O
it -X- I-O O
is -X- I-O O
related -X- I-O O
with -X- I-O O
a -X- I-O O
trusted -X- I-O O
entity. -X- I-O O

Adversaries -X- I-O B-PER
may -X- I-O O
use -X- I-O O
steganographic -X- I-O B-EXPLOITS
techniques -X- I-O O
to -X- I-O O
hide -X- I-O O
command -X- I-O B-EXPLOITS
and -X- I-O I-EXPLOITS
control -X- I-O I-EXPLOITS
traffic -X- I-O O
to -X- I-O O
make -X- I-O O
detection -X- I-O O
efforts -X- I-O O
more -X- I-O O
difficult. -X- I-O O
Steganographic -X- I-O B-EXPLOITS
techniques -X- I-O O
can -X- I-O O
be -X- I-O O
used -X- I-O O
to -X- I-O O
hide -X- I-O O
data -X- I-O O
in -X- I-O O
digital -X- I-O O
messages -X- I-O O
that -X- I-O O
are -X- I-O O
transferred -X- I-O O
between -X- I-O O
systems. -X- I-O O
This -X- I-O O
hidden -X- I-O O
information -X- I-O O
can -X- I-O O
be -X- I-O O
used -X- I-O O
for -X- I-O O
command -X- I-O B-EXPLOITS
and -X- I-O I-EXPLOITS
control -X- I-O I-EXPLOITS
of -X- I-O O
compromised -X- I-O O
systems. -X- I-O O
In -X- I-O O
some -X- I-O O
cases, -X- I-O O
the -X- I-O O
passing -X- I-O O
of -X- I-O O
files -X- I-O O
embedded -X- I-O O
using -X- I-O O
steganography, -X- I-O B-EXPLOITS
such -X- I-O O
as -X- I-O O
image -X- I-O O
or -X- I-O O
document -X- I-O O
files, -X- I-O O
can -X- I-O O
be -X- I-O O
used -X- I-O O
for -X- I-O O
command -X- I-O O
and -X- I-O O
control. -X- I-O O

Adversaries -X- I-O B-PER
may -X- I-O O
add -X- I-O O
junk -X- I-O O
data -X- I-O O
to -X- I-O O
protocols -X- I-O O
used -X- I-O O
for -X- I-O O
command -X- I-O B-EXPLOITS
and -X- I-O I-EXPLOITS
control -X- I-O I-EXPLOITS
to -X- I-O O
make -X- I-O O
detection -X- I-O O
more -X- I-O O
difficult. -X- I-O O
By -X- I-O O
adding -X- I-O O
random -X- I-O O
or -X- I-O O
meaningless -X- I-O O
data -X- I-O O
to -X- I-O O
the -X- I-O O
protocols -X- I-O O
used -X- I-O O
for -X- I-O O
command -X- I-O B-EXPLOITS
and -X- I-O I-EXPLOITS
control, -X- I-O I-EXPLOITS
adversaries -X- I-O B-PER
can -X- I-O O
prevent -X- I-O O
trivial -X- I-O O
methods -X- I-O O
for -X- I-O O
decoding, -X- I-O O
deciphering, -X- I-O O
or -X- I-O O
otherwise -X- I-O O
analyzing -X- I-O O
the -X- I-O O
traffic. -X- I-O O
Examples -X- I-O O
may -X- I-O O
include -X- I-O O
appending/prepending -X- I-O O
data -X- I-O O
with -X- I-O O
junk -X- I-O O
characters -X- I-O O
or -X- I-O O
writing -X- I-O O
junk -X- I-O O
characters -X- I-O O
between -X- I-O O
significant -X- I-O O
characters. -X- I-O O

Adversaries -X- I-O B-PER
may -X- I-O O
obfuscate -X- I-O O
command -X- I-O B-EXPLOITS
and -X- I-O I-EXPLOITS
control -X- I-O I-EXPLOITS
traffic -X- I-O O
to -X- I-O O
make -X- I-O O
it -X- I-O O
more -X- I-O O
difficult -X- I-O O
to -X- I-O O
detect. -X- I-O B-EXPLOITS
Command -X- I-O I-EXPLOITS
and -X- I-O I-EXPLOITS
control -X- I-O I-EXPLOITS
(C2) -X- I-O I-EXPLOITS
communications -X- I-O O
are -X- I-O O
hidden -X- I-O O
(but -X- I-O O
not -X- I-O O
necessarily -X- I-O O
encrypted) -X- I-O O
in -X- I-O O
an -X- I-O O
attempt -X- I-O O
to -X- I-O O
make -X- I-O O
the -X- I-O O
content -X- I-O O
more -X- I-O O
difficult -X- I-O O
to -X- I-O O
discover -X- I-O O
or -X- I-O O
decipher -X- I-O O
and -X- I-O O
to -X- I-O O
make -X- I-O O
the -X- I-O O
communication -X- I-O O
less -X- I-O O
conspicuous -X- I-O O
and -X- I-O O
hide -X- I-O O
commands -X- I-O O
from -X- I-O O
being -X- I-O O
seen. -X- I-O O
This -X- I-O O
encompasses -X- I-O O
many -X- I-O O
methods, -X- I-O O
such -X- I-O O
as -X- I-O O
adding -X- I-O O
junk -X- I-O O
data -X- I-O O
to -X- I-O O
protocol -X- I-O O
traffic, -X- I-O O
using -X- I-O O
steganography, -X- I-O B-EXPLOITS
or -X- I-O O
impersonating -X- I-O O
legitimate -X- I-O O
protocols. -X- I-O O


Adversaries -X- I-O B-PER
may -X- I-O O
use -X- I-O O
[Valid -X- I-O O
Accounts](T1078) -X- I-O O
to -X- I-O O
remotely -X- I-O O
control -X- I-O O
machines -X- I-O O
using -X- I-O O
Virtual -X- I-O O
Network -X- I-O O
Computing -X- I-O O
(VNC). -X- I-O O
VNC -X- I-O O
is -X- I-O O
a -X- I-O O
platform-independent -X- I-O O
desktop -X- I-O O
sharing -X- I-O O
system -X- I-O O
that -X- I-O O
uses -X- I-O O
the -X- I-O O
RFB -X- I-O O
(remote -X- I-O O
framebuffer) -X- I-O O
protocol -X- I-O O
to -X- I-O O
enable -X- I-O O
users -X- I-O O
to -X- I-O O
remotely -X- I-O O
control -X- I-O O
another -X- I-O O
computer -X- I-O O
display -X- I-O O
by -X- I-O O
relaying -X- I-O O
the -X- I-O O
screen, -X- I-O O
mouse, -X- I-O O
and -X- I-O O
keyboard -X- I-O O
inputs -X- I-O O
over -X- I-O O
the -X- I-O O
network.(Citation: -X- I-O O
The -X- I-O O
Remote -X- I-O O
Framebuffer -X- I-O O
Protocol) -X- I-O O
VNC -X- I-O O
differs -X- I-O O
from -X- I-O O
[Remote -X- I-O O
Desktop -X- I-O O
Protocol](T1021.001) -X- I-O O
as -X- I-O O
VNC -X- I-O O
is -X- I-O O
screen-sharing -X- I-O O
software -X- I-O O
rather -X- I-O O
than -X- I-O O
resource-sharing -X- I-O O
software. -X- I-O O
By -X- I-O O
default, -X- I-O O
VNC -X- I-O O
uses -X- I-O O
the -X- I-O O
system's -X- I-O O
authentication, -X- I-O O
but -X- I-O O
it -X- I-O O
can -X- I-O O
be -X- I-O O
configured -X- I-O O
to -X- I-O O
use -X- I-O O
credentials -X- I-O O
specific -X- I-O O
to -X- I-O O
VNC.(Citation: -X- I-O O
MacOS -X- I-O B-DEVICES
VNC -X- I-O O
software -X- I-O O
for -X- I-O O
Remote -X- I-O O
Desktop)(Citation: -X- I-O O
VNC -X- I-O O
Authentication) -X- I-O O
Adversaries -X- I-O O
may -X- I-O O
abuse -X- I-O O
VNC -X- I-O O
to -X- I-O O
perform -X- I-O O
malicious -X- I-O O
actions -X- I-O O
as -X- I-O O
the -X- I-O O
logged-on -X- I-O O
user -X- I-O O
such -X- I-O O
as -X- I-O O
opening -X- I-O O
documents, -X- I-O O
downloading -X- I-O O
files, -X- I-O O
and -X- I-O O
running -X- I-O O
arbitrary -X- I-O O
commands. -X- I-O O
An -X- I-O O
adversary -X- I-O O
could -X- I-O O
use -X- I-O O
VNC -X- I-O O
to -X- I-O O
remotely -X- I-O O
control -X- I-O O
and -X- I-O O
monitor -X- I-O O
a -X- I-O O
system -X- I-O O
to -X- I-O O
collect -X- I-O O
data -X- I-O O
and -X- I-O O
information -X- I-O O
to -X- I-O O
pivot -X- I-O O
to -X- I-O O
other -X- I-O O
systems -X- I-O O
within -X- I-O O
the -X- I-O O
network. -X- I-O O
Specific -X- I-O O
VNC -X- I-O O
libraries/implementations -X- I-O O
have -X- I-O O
also -X- I-O O
been -X- I-O O
susceptible -X- I-O O
to -X- I-O O
brute -X- I-O B-EXPLOITS
force -X- I-O I-EXPLOITS
attacks -X- I-O O
and -X- I-O O
memory -X- I-O B-EXPLOITS
usage -X- I-O I-EXPLOITS
exploitation.(Citation: -X- I-O I-EXPLOITS
Hijacking -X- I-O O
VNC)(Citation: -X- I-O O
macOS -X- I-O B-DEVICES
root -X- I-O O
VNC -X- I-O O
login -X- I-O O
without -X- I-O O
authentication)(Citation: -X- I-O O
VNC -X- I-O O
Vulnerabilities)(Citation: -X- I-O O
Offensive -X- I-O O
Security -X- I-O O
VNC -X- I-O O
Authentication -X- I-O O
Check)(Citation: -X- I-O O
Attacking -X- I-O O
VNC -X- I-O O
Servers -X- I-O O
PentestLab)(Citation: -X- I-O B-ORG
Havana -X- I-O B-EXPLOITS
authentication -X- I-O I-EXPLOITS
bug) -X- I-O I-EXPLOITS

Adversaries -X- I-O B-PER
may -X- I-O O
smuggle -X- I-O O
data -X- I-O O
and -X- I-O O
files -X- I-O O
past -X- I-O O
content -X- I-O O
filters -X- I-O O
by -X- I-O O
hiding -X- I-O O
malicious -X- I-O O
payloads -X- I-O O
inside -X- I-O O
of -X- I-O O
seemingly -X- I-O O
benign -X- I-O O
HTML -X- I-O O
files. -X- I-O O
HTML -X- I-O O
documents -X- I-O O
can -X- I-O O
store -X- I-O O
large -X- I-O O
binary -X- I-O O
objects -X- I-O O
known -X- I-O O
as -X- I-O O
JavaScript -X- I-O O
Blobs -X- I-O O
(immutable -X- I-O O
data -X- I-O O
that -X- I-O O
represents -X- I-O O
raw -X- I-O O
bytes) -X- I-O O
that -X- I-O O
can -X- I-O O
later -X- I-O O
be -X- I-O O
constructed -X- I-O O
into -X- I-O O
file-like -X- I-O O
objects. -X- I-O O
Data -X- I-O O
may -X- I-O O
also -X- I-O O
be -X- I-O O
stored -X- I-O O
in -X- I-O O
Data -X- I-O O
URLs, -X- I-O O
which -X- I-O O
enable -X- I-O O
embedding -X- I-O O
media -X- I-O O
type -X- I-O O
or -X- I-O O
MIME -X- I-O O
files -X- I-O O
inline -X- I-O O
of -X- I-O O
HTML -X- I-O O
documents. -X- I-O O
HTML5 -X- I-O O
also -X- I-O O
introduced -X- I-O O
a -X- I-O O
download -X- I-O O
attribute -X- I-O O
that -X- I-O O
may -X- I-O O
be -X- I-O O
used -X- I-O O
to -X- I-O O
initiate -X- I-O O
file -X- I-O O
downloads.(Citation: -X- I-O O
HTML -X- I-O O
Smuggling -X- I-O O
Menlo -X- I-O B-ORG
Security -X- I-O I-ORG
2020)(Citation: -X- I-O O
Outlflank -X- I-O O
HTML -X- I-O O
Smuggling -X- I-O O
2018) -X- I-O O
Adversaries -X- I-O O
may -X- I-O O
deliver -X- I-O O
payloads -X- I-O O
to -X- I-O O
victims -X- I-O O
that -X- I-O O
bypass -X- I-O O
security -X- I-O O
controls -X- I-O O
through -X- I-O O
HTML -X- I-O O
Smuggling -X- I-O O
by -X- I-O O
abusing -X- I-O O
JavaScript -X- I-O O
Blobs -X- I-O O
and/or -X- I-O O
HTML5 -X- I-O O
download -X- I-O O
attributes. -X- I-O O
Security -X- I-O O
controls -X- I-O O
such -X- I-O O
as -X- I-O O
web -X- I-O O
content -X- I-O O
filters -X- I-O O
may -X- I-O O
not -X- I-O O
identify -X- I-O O
smuggled -X- I-O O
malicious -X- I-O O
files -X- I-O O
inside -X- I-O O
of -X- I-O O
HTML/JS -X- I-O O
files, -X- I-O O
as -X- I-O O
the -X- I-O O
content -X- I-O O
may -X- I-O O
be -X- I-O O
based -X- I-O O
on -X- I-O O
typically -X- I-O O
benign -X- I-O O
MIME -X- I-O O
types -X- I-O O
such -X- I-O O
as -X- I-O O
`text/plain` -X- I-O O
and/or -X- I-O O
`text/html`. -X- I-O O
Malicious -X- I-O O
files -X- I-O O
or -X- I-O O
data -X- I-O O
can -X- I-O O
be -X- I-O O
obfuscated -X- I-O O
and -X- I-O O
hidden -X- I-O O
inside -X- I-O O
of -X- I-O O
HTML -X- I-O O
files -X- I-O O
through -X- I-O O
Data -X- I-O O
URLs -X- I-O O
and/or -X- I-O O
JavaScript -X- I-O O
Blobs -X- I-O O
and -X- I-O O
can -X- I-O O
be -X- I-O O
deobfuscated -X- I-O O
when -X- I-O O
they -X- I-O O
reach -X- I-O O
the -X- I-O O
victim -X- I-O O
(i.e. -X- I-O O
[Deobfuscate/Decode -X- I-O O
Files -X- I-O O
or -X- I-O O
Information](T1140)), -X- I-O O
potentially -X- I-O O
bypassing -X- I-O O
content -X- I-O O
filters. -X- I-O O
For -X- I-O O
example, -X- I-O O
JavaScript -X- I-O O
Blobs -X- I-O O
can -X- I-O O
be -X- I-O O
abused -X- I-O O
to -X- I-O O
dynamically -X- I-O O
generate -X- I-O O
malicious -X- I-O O
files -X- I-O O
in -X- I-O O
the -X- I-O O
victim -X- I-O O
machine -X- I-O O
and -X- I-O O
may -X- I-O O
be -X- I-O O
dropped -X- I-O O
to -X- I-O O
disk -X- I-O O
by -X- I-O O
abusing -X- I-O O
JavaScript -X- I-O O
functions -X- I-O O
such -X- I-O O
as -X- I-O O
`msSaveBlob`.(Citation: -X- I-O O
HTML -X- I-O O
Smuggling -X- I-O O
Menlo -X- I-O O
Security -X- I-O O
2020)(Citation: -X- I-O O
MSTIC -X- I-O O
NOBELIUM -X- I-O B-APT
May -X- I-O O
2021)(Citation: -X- I-O O
Outlflank -X- I-O O
HTML -X- I-O O
Smuggling -X- I-O O
2018)(Citation: -X- I-O O
nccgroup -X- I-O O
Smuggling -X- I-O O
HTA -X- I-O O
2017) -X- I-O O

Adversaries -X- I-O B-PER
may -X- I-O O
use -X- I-O O
steganography -X- I-O O
techniques -X- I-O O
in -X- I-O O
order -X- I-O O
to -X- I-O O
prevent -X- I-O O
the -X- I-O O
detection -X- I-O O
of -X- I-O O
hidden -X- I-O O
information. -X- I-O O
Steganographic -X- I-O O
techniques -X- I-O O
can -X- I-O O
be -X- I-O O
used -X- I-O O
to -X- I-O O
hide -X- I-O O
data -X- I-O O
in -X- I-O O
digital -X- I-O O
media -X- I-O O
such -X- I-O O
as -X- I-O O
images, -X- I-O O
audio -X- I-O O
tracks, -X- I-O O
video -X- I-O O
clips, -X- I-O O
or -X- I-O O
text -X- I-O O
files. -X- I-O O
[Duqu](S0038) -X- I-O B-MALWARE
was -X- I-O O
an -X- I-O O
early -X- I-O O
example -X- I-O O
of -X- I-O O
malware -X- I-O O
that -X- I-O O
used -X- I-O O
steganography. -X- I-O O
It -X- I-O O
encrypted -X- I-O O
the -X- I-O O
gathered -X- I-O O
information -X- I-O O
from -X- I-O O
a -X- I-O O
victim's -X- I-O O
system -X- I-O O
and -X- I-O O
hid -X- I-O O
it -X- I-O O
within -X- I-O O
an -X- I-O O
image -X- I-O O
before -X- I-O O
exfiltrating -X- I-O O
the -X- I-O O
image -X- I-O O
to -X- I-O O
a -X- I-O O
C2 -X- I-O B-MALWARE
server.(Citation: -X- I-O I-MALWARE
Wikipedia -X- I-O O
Duqu) -X- I-O B-MALWARE
By -X- I-O O
the -X- I-O O
end -X- I-O O
of -X- I-O O
2017, -X- I-O O
a -X- I-O O
threat -X- I-O O
group -X- I-O O
usedâ€¯`Invoke-PSImage`â€¯to -X- I-O O
hide -X- I-O O
[PowerShell](T1059.001) -X- I-O O
commands -X- I-O O
in -X- I-O O
an -X- I-O O
image -X- I-O O
file -X- I-O O
(.png) -X- I-O O
and -X- I-O O
execute -X- I-O O
the -X- I-O O
code -X- I-O O
on -X- I-O O
a -X- I-O O
victim's -X- I-O O
system. -X- I-O O
In -X- I-O O
this -X- I-O O
particular -X- I-O O
case -X- I-O O
the -X- I-O O
[PowerShell](T1059.001) -X- I-O O
code -X- I-O O
downloaded -X- I-O O
another -X- I-O O
obfuscated -X- I-O O
script -X- I-O O
to -X- I-O O
gather -X- I-O O
intelligence -X- I-O O
from -X- I-O O
the -X- I-O O
victim's -X- I-O O
machine -X- I-O O
and -X- I-O O
communicate -X- I-O O
it -X- I-O O
back -X- I-O O
to -X- I-O O
the -X- I-O O
adversary.(Citation: -X- I-O O
McAfee -X- I-O B-ORG
Malicious -X- I-O O
Doc -X- I-O O
Targets -X- I-O O
Pyeongchang -X- I-O O
Olympics) -X- I-O O

Adversaries -X- I-O B-PER
may -X- I-O O
use -X- I-O O
binary -X- I-O O
padding -X- I-O O
to -X- I-O O
add -X- I-O O
junk -X- I-O O
data -X- I-O O
and -X- I-O O
change -X- I-O O
the -X- I-O O
on-disk -X- I-O O
representation -X- I-O O
of -X- I-O O
malware. -X- I-O O
This -X- I-O O
can -X- I-O O
be -X- I-O O
done -X- I-O O
without -X- I-O O
affecting -X- I-O O
the -X- I-O O
functionality -X- I-O O
or -X- I-O O
behavior -X- I-O O
of -X- I-O O
a -X- I-O O
binary, -X- I-O O
but -X- I-O O
can -X- I-O O
increase -X- I-O O
the -X- I-O O
size -X- I-O O
of -X- I-O O
the -X- I-O O
binary -X- I-O O
beyond -X- I-O O
what -X- I-O O
some -X- I-O O
security -X- I-O O
tools -X- I-O O
are -X- I-O O
capable -X- I-O O
of -X- I-O O
handling -X- I-O O
due -X- I-O O
to -X- I-O O
file -X- I-O O
size -X- I-O O
limitations. -X- I-O O
Binary -X- I-O O
padding -X- I-O O
effectively -X- I-O O
changes -X- I-O O
the -X- I-O O
checksum -X- I-O O
of -X- I-O O
the -X- I-O O
file -X- I-O O
and -X- I-O O
can -X- I-O O
also -X- I-O O
be -X- I-O O
used -X- I-O O
to -X- I-O O
avoid -X- I-O O
hash-based -X- I-O O
blocklists -X- I-O O
and -X- I-O O
static -X- I-O O
anti-virus -X- I-O O
signatures.(Citation: -X- I-O O
ESET -X- I-O B-ORG
OceanLotus) -X- I-O B-APT
The -X- I-O O
padding -X- I-O O
used -X- I-O O
is -X- I-O O
commonly -X- I-O O
generated -X- I-O O
by -X- I-O O
a -X- I-O O
function -X- I-O O
to -X- I-O O
create -X- I-O B-EXPLOITS
junk -X- I-O I-EXPLOITS
data -X- I-O I-EXPLOITS
and -X- I-O O
then -X- I-O O
appended -X- I-O O
to -X- I-O O
the -X- I-O O
end -X- I-O O
or -X- I-O O
applied -X- I-O O
to -X- I-O O
sections -X- I-O O
of -X- I-O O
malware.(Citation: -X- I-O B-MALWARE
Securelist -X- I-O O
Malware -X- I-O O
Tricks -X- I-O O
April -X- I-O O
2017) -X- I-O O
Increasing -X- I-O O
the -X- I-O O
file -X- I-O O
size -X- I-O O
may -X- I-O O
decrease -X- I-O O
the -X- I-O O
effectiveness -X- I-O O
of -X- I-O O
certain -X- I-O O
tools -X- I-O O
and -X- I-O O
detection -X- I-O O
capabilities -X- I-O O
that -X- I-O O
are -X- I-O O
not -X- I-O O
designed -X- I-O O
or -X- I-O O
configured -X- I-O O
to -X- I-O O
scan -X- I-O O
large -X- I-O O
files. -X- I-O O
This -X- I-O O
may -X- I-O O
also -X- I-O O
reduce -X- I-O O
the -X- I-O O
likelihood -X- I-O O
of -X- I-O O
being -X- I-O O
collected -X- I-O O
for -X- I-O O
analysis. -X- I-O O
Public -X- I-O O
file -X- I-O O
scanning -X- I-O O
services, -X- I-O O
such -X- I-O O
as -X- I-O O
VirusTotal, -X- I-O O
limits -X- I-O O
the -X- I-O O
maximum -X- I-O O
size -X- I-O O
of -X- I-O O
an -X- I-O O
uploaded -X- I-O O
file -X- I-O O
to -X- I-O O
be -X- I-O O
analyzed.(Citation: -X- I-O O
VirusTotal -X- I-O B-ORG
FAQ) -X- I-O O

Adversaries -X- I-O B-PER
may -X- I-O O
attempt -X- I-O O
to -X- I-O O
make -X- I-O O
an -X- I-O O
executable -X- I-O O
or -X- I-O O
file -X- I-O O
difficult -X- I-O O
to -X- I-O O
discover -X- I-O O
or -X- I-O O
analyze -X- I-O O
by -X- I-O O
encrypting, -X- I-O O
encoding, -X- I-O O
or -X- I-O O
otherwise -X- I-O O
obfuscating -X- I-O O
its -X- I-O O
contents -X- I-O O
on -X- I-O O
the -X- I-O O
system -X- I-O O
or -X- I-O O
in -X- I-O O
transit. -X- I-O O
This -X- I-O O
is -X- I-O O
common -X- I-O O
behavior -X- I-O O
that -X- I-O O
can -X- I-O O
be -X- I-O O
used -X- I-O O
across -X- I-O O
different -X- I-O O
platforms -X- I-O O
and -X- I-O O
the -X- I-O O
network -X- I-O O
to -X- I-O O
